season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Plan C,1,https://assets.vogue.com/photos/6968f766cf15a3928ad83a9d/master/w_2560%2Cc_limit/00001-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,2,https://assets.vogue.com/photos/6968f766694ac2de3f8dc184/master/w_2560%2Cc_limit/00002-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,3,https://assets.vogue.com/photos/6968f768e9f6ea06bb17bed5/master/w_2560%2Cc_limit/00003-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,4,https://assets.vogue.com/photos/6968f76ba71e7b37a1e3a877/master/w_2560%2Cc_limit/00004-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,5,https://assets.vogue.com/photos/6968f76a792824726c5c0882/master/w_2560%2Cc_limit/00005-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,6,https://assets.vogue.com/photos/6968f76ee2f5f12cdacb9271/master/w_2560%2Cc_limit/00006-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,7,https://assets.vogue.com/photos/6968f7e58e974b675eda069a/master/w_1280%2Cc_limit/00001-plan-c-fall-2026-ready-to-wear-credit-bex-gunther-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,8,https://assets.vogue.com/photos/684fe357df4e7201e9d28b10/master/w_1280%2Cc_limit/00003-plan-c-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,9,https://assets.vogue.com/photos/684fe210ca57828f378971c6/master/w_1280%2Cc_limit/00001-plan-c-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,10,https://assets.vogue.com/photos/678789dc2c327bae8c53d825/master/w_1280%2Cc_limit/00001-plan-c-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,11,https://assets.vogue.com/photos/67878b72a6f6b3c4c2d122cc/master/w_1280%2Cc_limit/00002-plan-c-fall-2025-menswear-credit-brand.jpg,Fall 2025 Menswear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
fall-2026-ready-to-wear,Plan C,12,https://assets.vogue.com/photos/66656e8c8de1b77e960d9183/master/w_1280%2Cc_limit/00001-plan-c-spring-2025-ready-to-wear-credit-brand.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/plan-c
