season,designer,look_number,image_url,caption,source_url
spring-2027-menswear,Brunello Cucinelli,1,https://assets.vogue.com/photos/6a350aa1d95ba15644bdfa66/master/w_2560%2Cc_limit/00001-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,2,https://assets.vogue.com/photos/6a350aa1ca520d25946b90b5/master/w_2560%2Cc_limit/00002-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,3,https://assets.vogue.com/photos/6a350aa19dde7edf962b2b3e/master/w_2560%2Cc_limit/00003-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,4,https://assets.vogue.com/photos/6a350aa58f8f6aa956917c18/master/w_2560%2Cc_limit/00004-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,5,https://assets.vogue.com/photos/6a350aa58f8f6aa956917c16/master/w_2560%2Cc_limit/00005-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,6,https://assets.vogue.com/photos/6a350aa5cc68b1e41520bf6f/master/w_2560%2Cc_limit/00006-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,7,https://assets.vogue.com/photos/6a350c40e97fc399faad7642/master/w_1280%2Cc_limit/00001-brunello-cucinelli-spring-2027-menswear-credit-brand.jpg,Spring 2027 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,8,https://assets.vogue.com/photos/699dd4c6d893bb63f7c2ec32/master/w_1280%2Cc_limit/00001-brunello-cucinelli-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,9,https://assets.vogue.com/photos/696a04848f08e6f3f2ceaee7/master/w_1280%2Cc_limit/00001-brunello-cucinelli-fall-2026-menswear-credit-brand.jpg,Fall 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,10,https://assets.vogue.com/photos/68d3d0ee2a632707b9dabbd9/master/w_1280%2Cc_limit/00001-brunello-cucinelli-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,11,https://assets.vogue.com/photos/68551e3171d0ac57cbccfed3/master/w_1280%2Cc_limit/00001-brunello-cucinelli-spring-2026-menswear-credit-brand.jpg,Spring 2026 Menswear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
spring-2027-menswear,Brunello Cucinelli,12,https://assets.vogue.com/photos/67c02b77ee3b11745b500071/master/w_1280%2Cc_limit/00001-brunello-cucinelli-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-menswear/brunello-cucinelli
