season,designer,look_number,image_url,caption,source_url
resort-2027,Baum Und Pferdgarten,1,https://assets.vogue.com/photos/6a02e1e9ba3dbb07f445410d/master/w_2560%2Cc_limit/00001-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,2,https://assets.vogue.com/photos/6a02e1e8ef356414ec5d4526/master/w_2560%2Cc_limit/00002-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,3,https://assets.vogue.com/photos/6a02e1e9ca35bb07b504d054/master/w_2560%2Cc_limit/00003-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,4,https://assets.vogue.com/photos/6a02e1ec092a8c15084f9660/master/w_2560%2Cc_limit/00004-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,5,https://assets.vogue.com/photos/6a02e1ecba3dbb07f4454113/master/w_2560%2Cc_limit/00005-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,6,https://assets.vogue.com/photos/6a02e1ec387f6f4c3b652fbf/master/w_2560%2Cc_limit/00006-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,7,https://assets.vogue.com/photos/6a02e24cc252e4598a7a05d3/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-resort-2027-credit-brand.jpg,Resort 2027,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,8,https://assets.vogue.com/photos/697a68b5f7bbf554af311d07/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-fall-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,9,https://assets.vogue.com/photos/690330b0d8bd495697f4fc07/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,10,https://assets.vogue.com/photos/6893b0493454e9d43b114654/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-spring-2026-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Spring 2026,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,11,https://assets.vogue.com/photos/681b61376cf0c6a18f7f5e99/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
resort-2027,Baum Und Pferdgarten,12,https://assets.vogue.com/photos/679a9e6cb52b148525153e41/master/w_1280%2Cc_limit/00001-baum-und-pferdgarten-fall-2025-ready-to-wear-copenhagen-credit-gorunway.jpg,Copenhagen Fall 2025,https://www.vogue.com/fashion-shows/resort-2027/baum-und-pferdgarten
