season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Ph5,1,https://assets.vogue.com/photos/6a9ea25e8382f8618fc78b61/master/w_2560%2Cc_limit/00001-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,2,https://assets.vogue.com/photos/6a9ea25e1968eadaf60b7762/master/w_2560%2Cc_limit/00002-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,3,https://assets.vogue.com/photos/6a9ea25f1968eadaf60b7764/master/w_2560%2Cc_limit/00003-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,4,https://assets.vogue.com/photos/6a9ea2610f480a703306e468/master/w_2560%2Cc_limit/00004-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,5,https://assets.vogue.com/photos/6a9ea2618382f8618fc78b67/master/w_2560%2Cc_limit/00005-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,6,https://assets.vogue.com/photos/6a9ea26136240f9e5edd7c6f/master/w_2560%2Cc_limit/00006-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,7,https://assets.vogue.com/photos/6a9ea2b756f7b6e55d44f32e/master/w_1280%2Cc_limit/00001-ph5-spring-2027-ready-to-wear-credit-brand.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,8,https://assets.vogue.com/photos/698afb5cf45ad3be86cc01c9/master/w_1280%2Cc_limit/00001-ph5-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,9,https://assets.vogue.com/photos/692ed536d35b6b536ccf6581/master/w_1280%2Cc_limit/00001-ph5-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,10,https://assets.vogue.com/photos/68c1a28f5a5cc1fd382d4337/master/w_1280%2Cc_limit/00001-ph5-spring-2026-ready-to-wear-credit-stephanie-geddes.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,11,https://assets.vogue.com/photos/68404290a544c8911ea056fb/master/w_1280%2Cc_limit/00001-ph5-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
spring-2027-ready-to-wear,Ph5,12,https://assets.vogue.com/photos/67ab8e5aaeb03c6892a45a7d/master/w_1280%2Cc_limit/00001-ph5-fall-2025-ready-to-wear-credit-stephanie-geddes-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ph5
