season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,David Koma,1,https://assets.vogue.com/photos/69aebc6924cbf98cfb138a10/master/w_2560%2Cc_limit/00001-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,2,https://assets.vogue.com/photos/69aebc68e987004aad0a08dd/master/w_2560%2Cc_limit/00002-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,3,https://assets.vogue.com/photos/69aebc6d303c3ff0f1fcea69/master/w_2560%2Cc_limit/00003-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,4,https://assets.vogue.com/photos/69aebc6c3e6fc4d5afb4ac8e/master/w_2560%2Cc_limit/00004-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,5,https://assets.vogue.com/photos/69aebc6e1668c81375cde9c2/master/w_2560%2Cc_limit/00005-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,6,https://assets.vogue.com/photos/69aebc7021148c13a7781920/master/w_2560%2Cc_limit/00006-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,7,https://assets.vogue.com/photos/69aebcbe49896b72896e422d/master/w_1280%2Cc_limit/00001-david-koma-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,8,https://assets.vogue.com/photos/697f221be8f5fcc3c4cb1438/master/w_1280%2Cc_limit/00001-david-koma-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,9,https://assets.vogue.com/photos/68dab4f606aaaad911940b61/master/w_1280%2Cc_limit/00001-david-koma-spring-2026-ready-to-wear-credit-zoe-natale-mannella-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,10,https://assets.vogue.com/photos/686587550b2bbcf16160932f/master/w_1280%2Cc_limit/00001-david-koma-spring-2026-ready-to-wear-berlin-credit-finnegan-koichi-godenschweger-brand.jpg,Berlin Spring 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,11,https://assets.vogue.com/photos/685a9778c0f32b56a3761a0c/master/w_1280%2Cc_limit/00001-david-koma-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
fall-2026-ready-to-wear,David Koma,12,https://assets.vogue.com/photos/67c9949b515c280726e5db7b/master/w_1280%2Cc_limit/00001-david-koma-fall-2025-ready-to-wear-credit-zoe-natale-mannella-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/david-koma
