season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Herve Leger,1,https://assets.vogue.com/photos/698a032f0f9347c9edc49df7/master/w_2560%2Cc_limit/00001-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,2,https://assets.vogue.com/photos/698a032f19ec042dbb6a6bce/master/w_2560%2Cc_limit/00002-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,3,https://assets.vogue.com/photos/698a032faa1c0b0df20305ae/master/w_2560%2Cc_limit/00003-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,4,https://assets.vogue.com/photos/698a03329a0a8db33d9f6c44/master/w_2560%2Cc_limit/00004-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,5,https://assets.vogue.com/photos/698a03320d296dbe49755f78/master/w_2560%2Cc_limit/00005-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,6,https://assets.vogue.com/photos/698a03330d4e044d92d9e95d/master/w_2560%2Cc_limit/00006-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,7,https://assets.vogue.com/photos/698a037eaa1c0b0df20305cc/master/w_1280%2Cc_limit/00001-herve-leger-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,8,https://assets.vogue.com/photos/692f456675aa28c41b1134c6/master/w_1280%2Cc_limit/00001-herve-leger-pre-fall-2026-credit-brand.jpg,Pre-Fall 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,9,https://assets.vogue.com/photos/68c2eefe787ac0e4732d02db/master/w_1280%2Cc_limit/00001-herve-leger-spring-2026-ready-to-wear-credit-brand.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,10,https://assets.vogue.com/photos/683eb536d05e017c34bf512a/master/w_1280%2Cc_limit/00001-herve-leger-resort-2026-credit-brand.jpg,Resort 2026,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,11,https://assets.vogue.com/photos/679bf38a9a45177cbb79ebb3/master/w_1280%2Cc_limit/00001-herve-leger-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
fall-2026-ready-to-wear,Herve Leger,12,https://assets.vogue.com/photos/674f78bce4d95a4e2d03912e/master/w_1280%2Cc_limit/00001-herve-leger-pre-fall-2025-credit-brand.jpg,Pre-Fall 2025,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/herve-leger
